criterion,feature,coef,abs_coef,odds_ratio_per_sd
relevance_to_emergent_phenomena,is_literature_outlier,-0.3968578814736173,0.3968578814736173,0.6724295835437311
relevance_to_emergent_phenomena,n_sents,-0.36399930865190344,0.36399930865190344,0.6948916751547815
relevance_to_emergent_phenomena,flesch_reading_ease,0.3545877625152449,0.3545877625152449,1.4255928503214899
relevance_to_emergent_phenomena,avg_word_len,-0.28605019672244225,0.28605019672244225,0.7512249059723386
relevance_to_emergent_phenomena,novelty_z,-0.19844251918794462,0.19844251918794462,0.8200069040484972
relevance_to_emergent_phenomena,raw_novelty,-0.198442300676412,0.198442300676412,0.8200070832294821
relevance_to_emergent_phenomena,paren_per_1k_chars,-0.18692651177671676,0.18692651177671676,0.8295046929716725
relevance_to_emergent_phenomena,newline_per_1k_chars,0.17904007802067118,0.17904007802067118,1.1960686792725572
relevance_to_emergent_phenomena,hedge_rate,-0.14808772638481557,0.14808772638481557,0.8623554602966819
relevance_to_emergent_phenomena,centroid_dist,0.11422796143851292,0.11422796143851292,1.1210076422737074
relevance_to_emergent_phenomena,fk_grade_level,-0.04813917072304952,0.04813917072304952,0.9530011479891473
relevance_to_emergent_phenomena,n_chars,0.03213537654835952,0.03213537654835952,1.0326572934229103
relevance_to_emergent_phenomena,semicolon_per_1k_chars,0.0,0.0,1.0
relevance_to_emergent_phenomena,colon_per_1k_chars,0.0,0.0,1.0
relevance_to_emergent_phenomena,quote_per_1k_chars,0.0,0.0,1.0
relevance_to_emergent_phenomena,bullet_per_1k_chars,0.0,0.0,1.0
rigor_of_approach,type_token_ratio,0.2624007113081606,0.2624007113081606,1.300047381756323
rigor_of_approach,is_nn_outlier,0.180229099123109,0.180229099123109,1.1974916759910914
rigor_of_approach,n_sents,0.13839687700317946,0.13839687700317946,1.148431245791849
rigor_of_approach,newline_per_1k_chars,-0.10789614887687307,0.10789614887687307,0.8977208209051233
rigor_of_approach,centroid_dist,-0.10281591216943359,0.10281591216943359,0.9022930593656862
rigor_of_approach,n_chars,0.095689640917923,0.095689640917923,1.1004174864298812
rigor_of_approach,comma_per_1k_chars,0.08596833315580835,0.08596833315580835,1.0897718181243483
rigor_of_approach,dash_per_1k_chars,0.05282527640200503,0.05282527640200503,1.054245427471982
rigor_of_approach,flesch_reading_ease,-0.0420867155655209,0.0420867155655209,0.9587866352422506
rigor_of_approach,fk_grade_level,0.040344972792814474,0.040344972792814474,1.041169887530557
rigor_of_approach,n_words,0.03788861602206363,0.03788861602206363,1.0386155413049865
rigor_of_approach,stopword_rate,0.03240916721713728,0.03240916721713728,1.0329400640621096
rigor_of_approach,nn_dist,-0.028965527773444435,0.028965527773444435,0.9714499519322382
rigor_of_approach,novelty_z,0.02831822377341899,0.02831822377341899,1.0287229964531621
rigor_of_approach,raw_novelty,0.028318140813120785,0.028318140813120785,1.0287229111099991
rigor_of_approach,avg_word_len,0.02397350199190768,0.02397350199190768,1.0242631765970858
rigor_of_approach,paren_per_1k_chars,-0.019923589985544426,0.019923589985544426,0.9802735731630651
rigor_of_approach,hedge_rate,-0.010703120834000351,0.010703120834000351,0.9893539537568897
rigor_of_approach,avg_sent_len_words,0.0010947099200011527,0.0010947099200011527,1.0010953093336137
rigor_of_approach,is_literature_outlier,0.00020326259948524287,0.00020326259948524287,1.000203283258727
rigor_of_approach,semicolon_per_1k_chars,0.0,0.0,1.0
rigor_of_approach,colon_per_1k_chars,0.0,0.0,1.0
rigor_of_approach,quote_per_1k_chars,0.0,0.0,1.0
rigor_of_approach,bullet_per_1k_chars,0.0,0.0,1.0
scope_and_timeline,centroid_dist,-0.3322746318074783,0.3322746318074783,0.7172903050690386
scope_and_timeline,is_nn_outlier,0.20194605814318234,0.20194605814318234,1.2237819932578358
scope_and_timeline,newline_per_1k_chars,-0.18747359440295763,0.18747359440295763,0.8290510094782565
scope_and_timeline,avg_word_len,0.12947362212083868,0.12947362212083868,1.138229086997481
scope_and_timeline,nn_dist,0.12380128341189839,0.12380128341189839,1.131790943016814
scope_and_timeline,paren_per_1k_chars,0.10326957347152022,0.10326957347152022,1.1087902692338776
scope_and_timeline,flesch_reading_ease,0.10253965210935966,0.10253965210935966,1.1079812348318745
scope_and_timeline,type_token_ratio,0.10105519874308748,0.10105519874308748,1.1063377085289448
scope_and_timeline,n_chars,-0.09124481084369104,0.09124481084369104,0.9127942216205713
scope_and_timeline,fk_grade_level,-0.0903956445499551,0.0903956445499551,0.9135696649002397
scope_and_timeline,dash_per_1k_chars,-0.08839339940468686,0.08839339940468686,0.9154006877932878
scope_and_timeline,comma_per_1k_chars,-0.08425653309812901,0.08425653309812901,0.9191954217974267
scope_and_timeline,n_sents,0.06271118359075442,0.06271118359075442,1.0647192864191357
scope_and_timeline,is_literature_outlier,0.05095472476250305,0.05095472476250305,1.0522752501928212
scope_and_timeline,n_words,0.039922032449453596,0.039922032449453596,1.0407296278891724
scope_and_timeline,stopword_rate,-0.024390125022193967,0.024390125022193967,0.9759049105582002
scope_and_timeline,avg_sent_len_words,0.02249272119200257,0.02249272119200257,1.022747589754017
scope_and_timeline,raw_novelty,-0.01624860450918292,0.01624860450918292,0.9838826919749911
