comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
gemini,Gemini,sparseness,one_at_a_time,persona,23,0.01155938231368437,0.011648640556416278,-8.925824273190675e-05,1.585403227646366e-05,136.0,0.9643125534057617
gpt,GPT,centroid_loo,baseline,one_at_a_time,23,0.03882359140846423,0.020393374699507874,0.018430216708956355,0.016554929783474823,0.0,2.384185791015625e-07
gpt,GPT,centroid_loo,baseline,persona,23,0.03882359140846423,0.0214865728397862,0.017337018568678027,0.01937276241482572,0.0,2.384185791015625e-07
gpt,GPT,centroid_loo,one_at_a_time,persona,23,0.020393374699507874,0.0214865728397862,-0.0010931981402783225,-0.0008001544983124373,104.0,0.31455397605895996
gpt,GPT,global_centroid_dist,baseline,one_at_a_time,23,0.019853690174899265,0.010440796843336172,0.009412893331563093,0.00911405050045001,0.0,2.384185791015625e-07
gpt,GPT,global_centroid_dist,baseline,persona,23,0.019853690174899265,0.010898540642639848,0.008955149532259418,0.009179583083743677,0.0,2.384185791015625e-07
gpt,GPT,global_centroid_dist,one_at_a_time,persona,23,0.010440796843336172,0.010898540642639848,-0.00045774379930367504,-0.0004479453277970568,101.0,0.2725830078125
gpt,GPT,mean_pairwise,baseline,one_at_a_time,23,0.054668532765429954,0.028878470607425856,0.025790062158004095,0.023942649364471436,0.0,2.384185791015625e-07
gpt,GPT,mean_pairwise,baseline,persona,23,0.054668532765429954,0.030254703241845836,0.024413829523584115,0.02631303071975708,0.0,2.384185791015625e-07
gpt,GPT,mean_pairwise,one_at_a_time,persona,23,0.028878470607425856,0.030254703241845836,-0.0013762326344199797,-0.0011817038059234591,101.0,0.2725830078125
gpt,GPT,medoid_dist,baseline,one_at_a_time,23,0.034002373745475996,0.018647628893022954,0.015354744852453039,0.015579587221145632,0.0,2.384185791015625e-07
gpt,GPT,medoid_dist,baseline,persona,23,0.034002373745475996,0.019427452268807786,0.014574921476668204,0.014865714311599724,0.0,2.384185791015625e-07
gpt,GPT,medoid_dist,one_at_a_time,persona,23,0.018647628893022954,0.019427452268807786,-0.0007798233757848323,-0.000994390249252318,100.0,0.25945234298706055
gpt,GPT,mst_dispersion,baseline,one_at_a_time,23,0.04616316734016805,0.025606486244478092,0.020556681095689967,0.01968594789505005,0.0,2.384185791015625e-07
gpt,GPT,mst_dispersion,baseline,persona,23,0.04616316734016805,0.026534157213957413,0.019629010126210638,0.021158564090728752,0.0,2.384185791015625e-07
gpt,GPT,mst_dispersion,one_at_a_time,persona,23,0.025606486244478092,0.026534157213957413,-0.000927670969479326,-0.0012189865112304694,110.0,0.41003966331481934
gpt,GPT,nn,baseline,one_at_a_time,23,0.04399117831734643,0.02479689743207849,0.01919428088526795,0.018812841176986686,0.0,2.384185791015625e-07
gpt,GPT,nn,baseline,persona,23,0.04399117831734643,0.025556847755459768,0.018434330561886658,0.019998422265052794,0.0,2.384185791015625e-07
gpt,GPT,nn,one_at_a_time,persona,23,0.02479689743207849,0.025556847755459768,-0.0007599503233812857,-0.0009203732013702386,115.0,0.5009052753448486
gpt,GPT,remote_clique,baseline,one_at_a_time,23,0.054668532765429954,0.028878470607425856,0.025790062158004095,0.023942649364471436,0.0,2.384185791015625e-07
gpt,GPT,remote_clique,baseline,persona,23,0.054668532765429954,0.030254703241845836,0.024413829523584115,0.02631303071975708,0.0,2.384185791015625e-07
gpt,GPT,remote_clique,one_at_a_time,persona,23,0.028878470607425856,0.030254703241845836,-0.0013762326344199797,-0.0011817038059234591,101.0,0.2725830078125
gpt,GPT,span90,baseline,one_at_a_time,23,0.024460904804701176,0.012302479943149395,0.012158424861551782,0.012600619829214971,0.0,2.384185791015625e-07
gpt,GPT,span90,baseline,persona,23,0.024460904804701176,0.012958818851720516,0.011502085952980658,0.012046332223130412,0.0,2.384185791015625e-07
gpt,GPT,span90,one_at_a_time,persona,23,0.012302479943149395,0.012958818851720516,-0.0006563389085711229,-0.0018538771658158648,99.0,0.2467491626739502
gpt,GPT,sparseness,baseline,one_at_a_time,23,0.019853690174899265,0.010440796843336172,0.009412893331563093,0.00911405050045001,0.0,2.384185791015625e-07
gpt,GPT,sparseness,baseline,persona,23,0.019853690174899265,0.010898540642639848,0.008955149532259418,0.009179583083743677,0.0,2.384185791015625e-07
gpt,GPT,sparseness,one_at_a_time,persona,23,0.010440796843336172,0.010898540642639848,-0.00045774379930367504,-0.0004479453277970568,101.0,0.2725830078125
