condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
baseline,gpt,GPT,centroid_loo,sparseness,0.9426877470355731,1.7733200161440015e-11,23
baseline,gpt,GPT,global_centroid_dist,medoid_dist,0.8784584980237155,3.5565910113438074e-08,23
baseline,gpt,GPT,global_centroid_dist,mst_dispersion,0.8310276679841897,9.084332274615608e-07,23
baseline,gpt,GPT,global_centroid_dist,remote_clique,0.9792490118577075,4.854287395760623e-16,23
baseline,gpt,GPT,global_centroid_dist,span90,0.9812252964426879,1.7119446104319924e-16,23
baseline,gpt,GPT,global_centroid_dist,sparseness,1.0,0.0,23
baseline,gpt,GPT,mean_pairwise,centroid_loo,0.9851778656126482,1.4555716366082698e-17,23
baseline,gpt,GPT,mean_pairwise,global_centroid_dist,0.9792490118577075,4.854287395760623e-16,23
baseline,gpt,GPT,mean_pairwise,medoid_dist,0.9239130434782609,3.195584369798008e-10,23
baseline,gpt,GPT,mean_pairwise,mst_dispersion,0.8863636363636364,1.819821756977433e-08,23
baseline,gpt,GPT,mean_pairwise,nn,0.8468379446640316,3.48556888574847e-07,23
baseline,gpt,GPT,mean_pairwise,remote_clique,1.0,0.0,23
baseline,gpt,GPT,mean_pairwise,span90,0.9555335968379446,1.3069408987223545e-12,23
baseline,gpt,GPT,mean_pairwise,sparseness,0.9792490118577075,4.854287395760623e-16,23
baseline,gpt,GPT,medoid_dist,mst_dispersion,0.9090909090909092,1.937423986061789e-09,23
baseline,gpt,GPT,medoid_dist,remote_clique,0.9239130434782609,3.195584369798008e-10,23
baseline,gpt,GPT,medoid_dist,span90,0.8626482213438734,1.194476145665706e-07,23
baseline,gpt,GPT,medoid_dist,sparseness,0.8784584980237155,3.5565910113438074e-08,23
baseline,gpt,GPT,mst_dispersion,remote_clique,0.8863636363636364,1.819821756977433e-08,23
baseline,gpt,GPT,mst_dispersion,sparseness,0.8310276679841897,9.084332274615608e-07,23
baseline,gpt,GPT,nn,centroid_loo,0.8754940711462451,4.518872262393973e-08,23
baseline,gpt,GPT,nn,global_centroid_dist,0.790513833992095,7.168383854427523e-06,23
baseline,gpt,GPT,nn,medoid_dist,0.8547430830039526,2.0726049147358665e-07,23
baseline,gpt,GPT,nn,mst_dispersion,0.9683794466403162,3.8565010642989665e-14,23
baseline,gpt,GPT,nn,remote_clique,0.8468379446640316,3.48556888574847e-07,23
baseline,gpt,GPT,nn,span90,0.7470355731225298,4.21390213492746e-05,23
baseline,gpt,GPT,nn,sparseness,0.790513833992095,7.168383854427523e-06,23
baseline,gpt,GPT,span90,mst_dispersion,0.7924901185770751,6.550562954599936e-06,23
baseline,gpt,GPT,span90,remote_clique,0.9555335968379446,1.3069408987223545e-12,23
baseline,gpt,GPT,span90,sparseness,0.9812252964426879,1.7119446104319924e-16,23
baseline,gpt,GPT,sparseness,remote_clique,0.9792490118577075,4.854287395760623e-16,23
