metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
Scope_and_Timeline,23,23,241.0,0.3009979810792097,-0.0888468809073724,negligible,gemini-3-pro-preview,gpt-5.2,3.2028985507246377,3.3188405797101446,0.3890663438710107
Synthesis_Focus,12,11,60.5,0.7506525829370964,-0.08333333333333333,negligible,human-y1,human-y2,4.5,4.242424242424242,0.7506525829370964
Synthesis_Focus,12,23,48.5,0.0007190548126202673,-0.6485507246376812,large,human-y1,claude-opus-4-5,4.5,4.884057971014492,0.0017976370315506683
Synthesis_Focus,12,23,44.0,0.00021627032600919903,-0.6811594202898551,large,human-y1,gemini-3-pro-preview,4.5,4.913043478260869,0.0007209010866973301
Synthesis_Focus,12,23,23.0,5.537250415054034e-07,-0.8333333333333334,large,human-y1,gpt-5.2,4.5,5.0,5.537250415054034e-06
Synthesis_Focus,11,23,72.5,0.025587362199118446,-0.4268774703557312,medium,human-y2,claude-opus-4-5,4.242424242424242,4.884057971014492,0.03655337457016921
Synthesis_Focus,11,23,64.0,0.005896596092948595,-0.49407114624505927,large,human-y2,gemini-3-pro-preview,4.242424242424242,4.913043478260869,0.009827660154914325
Synthesis_Focus,11,23,46.0,3.0506831589207626e-05,-0.6363636363636364,large,human-y2,gpt-5.2,4.242424242424242,5.0,0.00015253415794603813
Synthesis_Focus,23,23,235.0,0.39211857610799417,-0.11153119092627599,negligible,claude-opus-4-5,gemini-3-pro-preview,4.884057971014492,4.913043478260869,0.4356873067866602
Synthesis_Focus,23,23,184.0,0.0048079125435611875,-0.30434782608695654,small,claude-opus-4-5,gpt-5.2,4.884057971014492,5.0,0.009615825087122375
Synthesis_Focus,23,23,218.5,0.04079790194166515,-0.17391304347826086,small,gemini-3-pro-preview,gpt-5.2,4.913043478260869,5.0,0.05099737742708144
Data_Identification,12,11,30.5,0.02213626462926368,-0.5378787878787878,large,human-y1,human-y2,3.0833333333333335,3.6060606060606064,0.04104611112012902
Data_Identification,12,23,53.5,0.002397027372436271,-0.6123188405797102,large,human-y1,claude-opus-4-5,3.0833333333333335,3.7536231884057965,0.010058259696612342
Data_Identification,12,23,63.0,0.004023303878644937,-0.5434782608695652,large,human-y1,gemini-3-pro-preview,3.0833333333333335,3.6376811594202896,0.010058259696612342
Data_Identification,12,23,18.0,2.1095615408355834e-05,-0.8695652173913043,large,human-y1,gpt-5.2,3.0833333333333335,3.9855072463768106,0.00021095615408355835
Data_Identification,11,23,107.0,0.4705343126023134,-0.1541501976284585,small,human-y2,claude-opus-4-5,3.6060606060606064,3.7536231884057965,0.5228159028914594
Data_Identification,11,23,129.0,0.9368343409671732,0.019762845849802372,negligible,human-y2,gemini-3-pro-preview,3.6060606060606064,3.6376811594202896,0.9368343409671732
Data_Identification,11,23,67.0,0.02462766667207741,-0.47035573122529645,medium,human-y2,gpt-5.2,3.6060606060606064,3.9855072463768106,0.04104611112012902
Data_Identification,23,23,306.0,0.34206423243582584,0.15689981096408318,small,claude-opus-4-5,gemini-3-pro-preview,3.7536231884057965,3.6376811594202896,0.4275802905447823
Data_Identification,23,23,195.5,0.11925366836328971,-0.2608695652173913,small,claude-opus-4-5,gpt-5.2,3.7536231884057965,3.9855072463768106,0.17036238337612813
Data_Identification,23,23,135.0,0.0032655174733754997,-0.4896030245746692,large,gemini-3-pro-preview,gpt-5.2,3.6376811594202896,3.9855072463768106,0.010058259696612342
Open_Science_Commitment,12,11,54.0,0.46283473125766805,-0.18181818181818182,small,human-y1,human-y2,3.1944444444444446,3.3636363636363638,0.5142608125085201
Open_Science_Commitment,12,23,30.0,8.91010550163951e-05,-0.782608695652174,large,human-y1,claude-opus-4-5,3.1944444444444446,4.1304347826086945,0.000297003516721317
Open_Science_Commitment,12,23,33.0,0.0001479058804087603,-0.7608695652173914,large,human-y1,gemini-3-pro-preview,3.1944444444444446,4.043478260869564,0.0003697647010219007
Open_Science_Commitment,12,23,14.0,1.8366250329776586e-06,-0.8985507246376812,large,human-y1,gpt-5.2,3.1944444444444446,4.304347826086955,1.8366250329776588e-05
Open_Science_Commitment,11,23,44.0,0.0013965074964618416,-0.6521739130434783,large,human-y2,claude-opus-4-5,3.3636363636363638,4.1304347826086945,0.0027930149929236833
Open_Science_Commitment,11,23,46.0,0.0017461317941394774,-0.6363636363636364,large,human-y2,gemini-3-pro-preview,3.3636363636363638,4.043478260869564,0.002910219656899129
Open_Science_Commitment,11,23,18.5,8.132051313107822e-06,-0.8537549407114624,large,human-y2,gpt-5.2,3.3636363636363638,4.304347826086955,4.066025656553911e-05
Open_Science_Commitment,23,23,266.5,0.9701378563156964,0.007561436672967864,negligible,claude-opus-4-5,gemini-3-pro-preview,4.1304347826086945,4.043478260869564,0.9701378563156965
Open_Science_Commitment,23,23,182.5,0.023583636199136414,-0.31001890359168244,small,claude-opus-4-5,gpt-5.2,4.1304347826086945,4.304347826086955,0.02947954524892052
Open_Science_Commitment,23,23,174.5,0.014731661147729782,-0.34026465028355385,medium,gemini-3-pro-preview,gpt-5.2,4.043478260869564,4.304347826086955,0.021045230211042546
