metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
Rigor_of_Approach,12,23,114.0,0.3713867059011807,-0.17391304347826086,small,human-y1,gemini-3-pro-preview,3.3333333333333335,3.4492753623188404,0.7058175565249589
Rigor_of_Approach,12,23,118.5,0.46783447003615497,-0.14130434782608695,negligible,human-y1,gpt-5.2,3.3333333333333335,3.5217391304347827,0.7058175565249589
Rigor_of_Approach,11,23,140.0,0.5990994391855216,0.1067193675889328,negligible,human-y2,claude-opus-4-5,3.545454545454545,3.5217391304347827,0.7058175565249589
Rigor_of_Approach,11,23,139.5,0.6028421494727341,0.10276679841897234,negligible,human-y2,gemini-3-pro-preview,3.545454545454545,3.4492753623188404,0.7058175565249589
Rigor_of_Approach,11,23,147.0,0.4178778712205369,0.16205533596837945,small,human-y2,gpt-5.2,3.545454545454545,3.5217391304347827,0.7058175565249589
Rigor_of_Approach,23,23,260.5,0.9313093611992718,-0.015122873345935728,negligible,claude-opus-4-5,gemini-3-pro-preview,3.5217391304347827,3.4492753623188404,0.9313093611992718
Rigor_of_Approach,23,23,284.0,0.635235800872463,0.07372400756143667,negligible,claude-opus-4-5,gpt-5.2,3.5217391304347827,3.5217391304347827,0.7058175565249589
Rigor_of_Approach,23,23,288.5,0.5656318161920811,0.09073724007561437,negligible,gemini-3-pro-preview,gpt-5.2,3.4492753623188404,3.5217391304347827,0.7058175565249589
Scope_and_Timeline,12,11,47.5,0.2482130789899235,-0.2803030303030303,small,human-y1,human-y2,2.8055555555555554,3.0,0.39517921787292426
Scope_and_Timeline,12,23,69.5,0.011344424822637448,-0.4963768115942029,large,human-y1,claude-opus-4-5,2.8055555555555554,3.159420289855073,0.05672212411318724
Scope_and_Timeline,12,23,64.5,0.004041837887914163,-0.532608695652174,large,human-y1,gemini-3-pro-preview,2.8055555555555554,3.144927536231884,0.040418378879141625
Scope_and_Timeline,12,23,75.0,0.021065333231017305,-0.45652173913043476,medium,human-y1,gpt-5.2,2.8055555555555554,3.1304347826086962,0.07021777743672435
Scope_and_Timeline,11,23,106.5,0.42455471799162514,-0.15810276679841898,small,human-y2,claude-opus-4-5,3.0,3.159420289855073,0.5306933974895314
Scope_and_Timeline,11,23,90.0,0.10986661757460976,-0.2885375494071146,small,human-y2,gemini-3-pro-preview,3.0,3.144927536231884,0.2746665439365244
Scope_and_Timeline,11,23,113.0,0.5996036236386786,-0.1067193675889328,negligible,human-y2,gpt-5.2,3.0,3.1304347826086962,0.6662262484874206
Scope_and_Timeline,23,23,223.0,0.276625452511047,-0.15689981096408318,small,claude-opus-4-5,gemini-3-pro-preview,3.159420289855073,3.144927536231884,0.39517921787292426
Scope_and_Timeline,23,23,280.0,0.7119439983526195,0.05860113421550094,negligible,claude-opus-4-5,gpt-5.2,3.159420289855073,3.1304347826086962,0.7119439983526195
