condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
one_at_a_time,gemini,Gemini,global_centroid_dist,sparseness,1.0,0.0,23
one_at_a_time,gemini,Gemini,mean_pairwise,centroid_loo,0.9792490118577075,4.854287395760623e-16,23
one_at_a_time,gemini,Gemini,mean_pairwise,global_centroid_dist,0.9614624505928853,2.9858709763379274e-13,23
one_at_a_time,gemini,Gemini,mean_pairwise,medoid_dist,0.9219367588932808,4.146041386732718e-10,23
one_at_a_time,gemini,Gemini,mean_pairwise,mst_dispersion,0.9347826086956521,6.648388758678471e-11,23
one_at_a_time,gemini,Gemini,mean_pairwise,nn,0.9110671936758895,1.551919112141883e-09,23
one_at_a_time,gemini,Gemini,mean_pairwise,remote_clique,1.0,0.0,23
one_at_a_time,gemini,Gemini,mean_pairwise,span90,0.9397233201581027,2.971868444999934e-11,23
one_at_a_time,gemini,Gemini,mean_pairwise,sparseness,0.9614624505928853,2.9858709763379274e-13,23
one_at_a_time,gemini,Gemini,medoid_dist,mst_dispersion,0.941699604743083,2.1126675899306958e-11,23
one_at_a_time,gemini,Gemini,medoid_dist,remote_clique,0.9219367588932808,4.146041386732718e-10,23
one_at_a_time,gemini,Gemini,medoid_dist,span90,0.8448616600790515,3.951436137199726e-07,23
one_at_a_time,gemini,Gemini,medoid_dist,sparseness,0.9426877470355731,1.7733200161440015e-11,23
one_at_a_time,gemini,Gemini,mst_dispersion,remote_clique,0.9347826086956521,6.648388758678471e-11,23
one_at_a_time,gemini,Gemini,mst_dispersion,sparseness,0.8932806324110673,9.712217172071093e-09,23
one_at_a_time,gemini,Gemini,nn,centroid_loo,0.8942687747035574,8.84805261881931e-09,23
one_at_a_time,gemini,Gemini,nn,global_centroid_dist,0.8784584980237155,3.5565910113438074e-08,23
one_at_a_time,gemini,Gemini,nn,medoid_dist,0.933794466403162,7.751322266758986e-11,23
one_at_a_time,gemini,Gemini,nn,mst_dispersion,0.9555335968379446,1.3069408987223545e-12,23
one_at_a_time,gemini,Gemini,nn,remote_clique,0.9110671936758895,1.551919112141883e-09,23
one_at_a_time,gemini,Gemini,nn,span90,0.7974308300395258,5.206894722871639e-06,23
one_at_a_time,gemini,Gemini,nn,sparseness,0.8784584980237155,3.5565910113438074e-08,23
one_at_a_time,gemini,Gemini,span90,mst_dispersion,0.8260869565217392,1.2013888040244503e-06,23
one_at_a_time,gemini,Gemini,span90,remote_clique,0.9397233201581027,2.971868444999934e-11,23
one_at_a_time,gemini,Gemini,span90,sparseness,0.9575098814229249,8.179673134913354e-13,23
one_at_a_time,gemini,Gemini,sparseness,remote_clique,0.9614624505928853,2.9858709763379274e-13,23
one_at_a_time,gpt,GPT,centroid_loo,global_centroid_dist,0.8873517786561266,1.6678520364260622e-08,23
