article_idx,pmid,dominant_topic,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
27,25408693,12,0.0007274607196450233,0.0007274352246895432,0.26996803283691406,0.0007274075760506094,0.17990601062774658,0.00072751339757815,0.0007273892406374216,0.0007273792871274054,0.12221319228410721,0.0007274362142197788,0.0007275093230418861,0.0007274256204254925,0.4199109971523285,0.0007274456438608468,0.0007273417431861162
28,24460594,13,0.000830079079605639,0.0008300251793116331,0.0008299698238261044,0.0008299543987959623,0.0008300616755150259,0.000830017845146358,0.0008299960754811764,0.2997141182422638,0.0008301751804538071,0.0008300702320411801,0.017409740015864372,0.16092830896377563,0.09948811680078506,0.4141593873500824,0.0008299793698824942
29,24376223,4,0.13161340355873108,0.00111745938193053,0.001117425737902522,0.0011175971012562513,0.4797118604183197,0.0011174915125593543,0.0011176597326993942,0.0011174664832651615,0.0011174369137734175,0.0011178146814927459,0.0011176076950505376,0.3752642571926117,0.0011176472762599587,0.0011174852261319757,0.0011173704406246543
30,27382620,12,0.002409885870292783,0.0024100367445498705,0.002409773413091898,0.002409768756479025,0.0024098861031234264,0.002410260261967778,0.0024100427981466055,0.0024099797010421753,0.0024100805167108774,0.0024101901799440384,0.3513290584087372,0.0024101207964122295,0.41253191232681274,0.20721784234046936,0.0024111687671393156
31,25353349,6,0.2663525342941284,0.002532062353566289,0.0025325664319097996,0.0025319650303572416,0.0025320728309452534,0.0025321978610008955,0.4434240460395813,0.0025326290633529425,0.002531942678615451,0.00253209937363863,0.06852994859218597,0.002532089361920953,0.19383929669857025,0.0025327142793685198,0.0025318555999547243
32,25386411,7,0.2778041958808899,0.0015750022139400244,0.0015749505255371332,0.001574976835399866,0.30085471272468567,0.0015752248000353575,0.001575001748278737,0.40243902802467346,0.0015754284104332328,0.0015750800957903266,0.0015754455234855413,0.0015754628693684936,0.0015752518083900213,0.0015753052430227399,0.0015749444719403982
33,25343582,11,0.0010584500851109624,0.0010583795374259353,0.001058298978023231,0.00105839513707906,0.21951153874397278,0.0010584242409095168,0.0010584925767034292,0.06314146518707275,0.325848251581192,0.001058488618582487,0.001058493391610682,0.3798562288284302,0.0010584209812805057,0.001058394555002451,0.0010582876857370138
34,25340817,11,0.0008371209842152894,0.0008368813432753086,0.0008368695271201432,0.0008369296556338668,0.000836940249428153,0.0008368976414203644,0.0008370428695343435,0.015041871927678585,0.3018873929977417,0.0008370084688067436,0.0008369251736439764,0.5599363446235657,0.0008369361166842282,0.11392790079116821,0.0008369388524442911
35,25340781,1,0.0013986703706905246,0.39357563853263855,0.08416460454463959,0.2757393419742584,0.001398939872160554,0.05722025781869888,0.0013988835271447897,0.0013987633865326643,0.17531217634677887,0.0013988727005198598,0.0013988448772579432,0.0013987874845042825,0.001398712396621704,0.0013987922575324774,0.0013987028505653143
36,25374531,9,0.29687070846557617,0.0007722489535808563,0.0007723034359514713,0.0007722945301793516,0.0007723307353444397,0.0007723134476691484,0.0007724013994447887,0.0007723185699433088,0.0007724277675151825,0.4394437372684479,0.01609979383647442,0.0800924152135849,0.0007723008748143911,0.15977013111114502,0.0007722579757682979
37,25364264,1,0.0007725331815890968,0.821672260761261,0.0007724679890088737,0.0007723535527475178,0.0007724820170551538,0.0007723721791990101,0.000772432133089751,0.0007723354501649737,0.0007723355665802956,0.0007724330062046647,0.034103959798812866,0.016084328293800354,0.061942264437675476,0.04752175137400627,0.011723676696419716
38,25473422,0,0.4051905572414398,0.0009480000589974225,0.0009479413274675608,0.14113277196884155,0.0009480747976340353,0.00094795529730618,0.00094800372608006,0.0009480033768340945,0.0009479633299633861,0.0009480043081566691,0.2579267621040344,0.0009481565211899579,0.1853218525648117,0.000948047440033406,0.0009479264263063669
39,25329998,4,0.0009304285049438477,0.0009304496343247592,0.12197393923997879,0.09692271053791046,0.27003854513168335,0.13191397488117218,0.0659831240773201,0.0009303361875936389,0.000930382520891726,0.0009304261184297502,0.08023670315742493,0.0009303883416578174,0.0009303247788920999,0.2254878133535385,0.000930444453842938
40,25329342,13,0.09239383786916733,0.0009304158738814294,0.0009304496925324202,0.0009303524857386947,0.016750041395425797,0.051102183759212494,0.1554800122976303,0.0009303329279646277,0.14279522001743317,0.0009303812403231859,0.0009303715196438134,0.000930378504563123,0.0009305393905378878,0.5331050753593445,0.0009303743718191981
