proposal_uid,source_group,char_len,word_count,sentence_count,avg_sentence_len,type_token_ratio,comma_rate,digit_rate,uppercase_rate
y2::6,Human,1669,230,12,19.166666666666668,0.6217391304347826,0.0,0.0,0.018573996405032954
y2::7,Human,1851,234,13,18.0,0.6495726495726496,0.0,0.0,0.011885467314964884
y2::8,Human,2062,254,13,19.53846153846154,0.65748031496063,0.0,0.00048496605237633366,0.015033947623666343
y2::9,Human,1730,234,13,18.0,0.6538461538461539,0.0,0.0,0.015028901734104046
baseline::claude-opus-4-5::01,Claude,1821,249,13,19.153846153846153,0.6385542168674698,0.0,0.0016474464579901153,0.018121911037891267
baseline::claude-opus-4-5::02,Claude,1859,244,13,18.76923076923077,0.6762295081967213,0.0,0.0016137708445400753,0.019365250134480903
baseline::claude-opus-4-5::03,Claude,1875,239,13,18.384615384615383,0.6652719665271967,0.0,0.0,0.014933333333333333
baseline::claude-opus-4-5::04,Claude,1857,245,13,18.846153846153847,0.7183673469387755,0.0,0.0005385029617662897,0.01615508885298869
baseline::claude-opus-4-5::05,Claude,1980,250,13,19.23076923076923,0.632,0.0,0.0,0.015656565656565657
baseline::claude-opus-4-5::06,Claude,1838,240,13,18.46153846153846,0.6666666666666666,0.0,0.0,0.016866158868335146
baseline::claude-opus-4-5::07,Claude,1893,244,13,18.76923076923077,0.6557377049180327,0.0,0.0,0.016904384574749076
baseline::claude-opus-4-5::08,Claude,2060,251,13,19.307692307692307,0.7131474103585658,0.0,0.0,0.015048543689320388
baseline::claude-opus-4-5::09,Claude,1685,222,12,18.5,0.6891891891891891,0.0,0.0,0.02195845697329377
baseline::claude-opus-4-5::10,Claude,1824,237,13,18.23076923076923,0.6413502109704642,0.0,0.0,0.015350877192982455
baseline::claude-opus-4-5::11,Claude,1906,238,13,18.307692307692307,0.680672268907563,0.0,0.0,0.016789087093389297
baseline::claude-opus-4-5::12,Claude,1675,222,12,18.5,0.6531531531531531,0.0,0.0,0.01253731343283582
baseline::claude-opus-4-5::13,Claude,1832,244,13,18.76923076923077,0.6639344262295082,0.0,0.001091703056768559,0.02292576419213974
baseline::claude-opus-4-5::14,Claude,1903,245,13,18.846153846153847,0.710204081632653,0.0,0.0,0.016815554387808723
baseline::claude-opus-4-5::15,Claude,1857,256,13,19.692307692307693,0.6484375,0.0,0.0,0.028002154011847066
baseline::claude-opus-4-5::16,Claude,1781,234,13,18.0,0.6495726495726496,0.0,0.0,0.016844469399213923
baseline::claude-opus-4-5::17,Claude,1830,243,13,18.692307692307693,0.6172839506172839,0.0,0.0,0.016939890710382512
baseline::claude-opus-4-5::18,Claude,1869,242,13,18.615384615384617,0.6611570247933884,0.0,0.0,0.021401819154628143
baseline::claude-opus-4-5::19,Claude,1971,247,13,19.0,0.6882591093117408,0.0,0.0025367833587011668,0.023845763571790968
baseline::claude-opus-4-5::20,Claude,1824,237,13,18.23076923076923,0.679324894514768,0.0,0.0,0.025767543859649123
baseline::claude-opus-4-5::21,Claude,1913,235,13,18.076923076923077,0.6978723404255319,0.0,0.0,0.017773131207527444
baseline::claude-opus-4-5::22,Claude,1891,243,13,18.692307692307693,0.6337448559670782,0.0,0.0010576414595452142,0.015335801163405606
baseline::claude-opus-4-5::23,Claude,1751,234,13,18.0,0.6581196581196581,0.0,0.0,0.025128498001142203
baseline::gpt-5.2::01,GPT,1864,242,13,18.615384615384617,0.7107438016528925,0.0,0.0,0.011266094420600859
baseline::gpt-5.2::02,GPT,1862,238,13,18.307692307692307,0.6722689075630253,0.0,0.0010741138560687433,0.02040816326530612
baseline::gpt-5.2::03,GPT,1914,250,13,19.23076923076923,0.672,0.0,0.0010449320794148381,0.017763845350052248
baseline::gpt-5.2::04,GPT,2004,260,13,20.0,0.6384615384615384,0.0,0.0,0.016966067864271458
baseline::gpt-5.2::05,GPT,1938,249,13,19.153846153846153,0.7269076305220884,0.0,0.0,0.016511867905056758
baseline::gpt-5.2::06,GPT,1792,241,13,18.53846153846154,0.6016597510373444,0.0,0.0,0.012276785714285714
baseline::gpt-5.2::07,GPT,1778,236,13,18.153846153846153,0.6610169491525424,0.0,0.0,0.01687289088863892
baseline::gpt-5.2::08,GPT,1620,220,12,18.333333333333332,0.6363636363636364,0.0,0.0,0.012962962962962963
baseline::gpt-5.2::09,GPT,1826,244,13,18.76923076923077,0.610655737704918,0.0,0.000547645125958379,0.01533406352683461
baseline::gpt-5.2::10,GPT,1798,237,13,18.23076923076923,0.7088607594936709,0.0,0.0,0.013904338153503892
