condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,gemini,Gemini,medoid_dist,exploratory,all_proposals,23,0.02150511538636857,0.030616291061691617,-0.009111175675323045,-0.00969647765159607,1.4236748099988499,14.0,2.6226043701171875e-05,-0.7391304347826086
baseline,gemini,Gemini,mst_dispersion,exploratory,all_proposals,23,0.029076105442599975,0.041729246015134065,-0.012653140572534093,-0.01217984358469645,1.4351731560993628,10.0,1.0251998901367188e-05,-0.8260869565217391
baseline,gemini,Gemini,nn,confirmatory,all_proposals,23,0.02747537951538528,0.03997456617113473,-0.01249918665574944,-0.012130376696586606,1.4549231667118674,10.0,1.0251998901367188e-05,-0.8260869565217391
baseline,gemini,Gemini,remote_clique,compatibility,all_proposals,23,0.034286664275155546,0.0481825571993123,-0.01389589292415674,-0.013640763362248738,1.4052856472895747,15.0,3.266334533691406e-05,-0.7391304347826086
baseline,gemini,Gemini,span90,exploratory,all_proposals,23,0.01560539749800454,0.021135666484898542,-0.005530268986894003,-0.005649539769798276,1.3543818084480805,30.0,0.00047516822814941406,-0.6521739130434783
baseline,gemini,Gemini,sparseness,exploratory,all_proposals,23,0.012411505396373668,0.017483569649847562,-0.005072064253473894,-0.005069787321580976,1.4086582643678198,15.0,3.266334533691406e-05,-0.7391304347826086
baseline,gpt,GPT,centroid_loo,exploratory,all_proposals,23,0.024214177718946416,0.028871034640423423,-0.004656856921477006,-0.006126013873599866,1.1923194326699453,51.0,0.006710529327392578,-0.4782608695652174
baseline,gpt,GPT,global_centroid_dist,exploratory,all_proposals,23,0.012411505396373668,0.01477076360267958,-0.0023592582063059124,-0.003433897099976175,1.190086386055573,51.0,0.006710529327392578,-0.4782608695652174
baseline,gpt,GPT,mean_pairwise,confirmatory,all_proposals,23,0.034286664275155546,0.04077729505041371,-0.006490630775258163,-0.009018174807230626,1.1893048190156352,48.0,0.004851341247558594,-0.4782608695652174
baseline,gpt,GPT,medoid_dist,exploratory,all_proposals,23,0.02150511538636857,0.025198756957399676,-0.0036936415710311006,-0.005577009916305543,1.1717564172370072,44.0,0.003070831298828125,-0.4782608695652174
