comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
gemini,Gemini,global_centroid_dist,baseline,persona,23,0.017483569649847562,0.0060514854539818535,0.01143208419586571,0.011188409453330769,0.0,2.384185791015625e-07
gemini,Gemini,global_centroid_dist,one_at_a_time,persona,23,0.00575308441135004,0.0060514854539818535,-0.00029840104263181437,-0.0003193013386728503,98.0,0.23447084426879883
gemini,Gemini,mean_pairwise,baseline,one_at_a_time,23,0.0481825571993123,0.015860227916551676,0.03232232928276062,0.03232430219650269,0.0,2.384185791015625e-07
gemini,Gemini,mean_pairwise,baseline,persona,23,0.0481825571993123,0.016789526783901713,0.03139303041541058,0.03174628615379333,0.0,2.384185791015625e-07
gemini,Gemini,mean_pairwise,one_at_a_time,persona,23,0.015860227916551676,0.016789526783901713,-0.0009292988673500392,-0.0009515702724456794,96.0,0.21117830276489258
gemini,Gemini,medoid_dist,baseline,one_at_a_time,23,0.030616291061691617,0.010270199870717698,0.020346091190973924,0.021130168437957765,0.0,2.384185791015625e-07
gemini,Gemini,medoid_dist,baseline,persona,23,0.030616291061691617,0.010972098250319992,0.01964419281137162,0.018930739164352416,0.0,2.384185791015625e-07
gemini,Gemini,medoid_dist,one_at_a_time,persona,23,0.010270199870717698,0.010972098250319992,-0.0007018983796022938,-0.00044162869453430106,91.0,0.16010499000549316
gemini,Gemini,mst_dispersion,baseline,one_at_a_time,23,0.041729246015134065,0.014047596333683403,0.02768164968145067,0.02781602442264557,0.0,2.384185791015625e-07
gemini,Gemini,mst_dispersion,baseline,persona,23,0.041729246015134065,0.014957934186078502,0.02677131182905557,0.027262604236602785,0.0,2.384185791015625e-07
gemini,Gemini,mst_dispersion,one_at_a_time,persona,23,0.014047596333683403,0.014957934186078502,-0.0009103378523950992,-0.0006624430418014533,89.0,0.14241743087768555
gemini,Gemini,nn,baseline,one_at_a_time,23,0.03997456617113473,0.013622543604477592,0.026352022566657137,0.026585295796394345,0.0,2.384185791015625e-07
gemini,Gemini,nn,baseline,persona,23,0.03997456617113473,0.014430575137553008,0.025543991033581716,0.025896728038787842,0.0,2.384185791015625e-07
gemini,Gemini,nn,one_at_a_time,persona,23,0.013622543604477592,0.014430575137553008,-0.0008080315330754156,-0.00032303929328918526,93.0,0.17933368682861328
gemini,Gemini,remote_clique,baseline,one_at_a_time,23,0.0481825571993123,0.015860227916551676,0.03232232928276062,0.03232430219650269,0.0,2.384185791015625e-07
gemini,Gemini,remote_clique,baseline,persona,23,0.0481825571993123,0.016789526783901713,0.03139303041541058,0.03174628615379333,0.0,2.384185791015625e-07
gemini,Gemini,remote_clique,one_at_a_time,persona,23,0.015860227916551676,0.016789526783901713,-0.0009292988673500392,-0.0009515702724456794,96.0,0.21117830276489258
gemini,Gemini,span90,baseline,one_at_a_time,23,0.021135666484898542,0.006824688895461796,0.014310977589436743,0.01471418476011841,0.0,2.384185791015625e-07
gemini,Gemini,span90,baseline,persona,23,0.021135666484898542,0.006992095349777417,0.014143571135121116,0.014612719352172853,0.0,2.384185791015625e-07
gemini,Gemini,span90,one_at_a_time,persona,23,0.006824688895461796,0.006992095349777417,-0.00016740645431562298,-0.0003684060146071193,120.0,0.6010458469390869
gemini,Gemini,sparseness,baseline,one_at_a_time,23,0.017483569649847562,0.00575308441135004,0.011730485238497523,0.011870862481488054,0.0,2.384185791015625e-07
gemini,Gemini,sparseness,baseline,persona,23,0.017483569649847562,0.0060514854539818535,0.01143208419586571,0.011188409453330769,0.0,2.384185791015625e-07
gemini,Gemini,sparseness,one_at_a_time,persona,23,0.00575308441135004,0.0060514854539818535,-0.00029840104263181437,-0.0003193013386728503,98.0,0.23447084426879883
gpt,GPT,centroid_loo,baseline,one_at_a_time,23,0.028871034640423423,0.006398487391798328,0.022472547248625095,0.02181222078489437,0.0,2.384185791015625e-07
gpt,GPT,centroid_loo,baseline,persona,23,0.028871034640423423,0.006955827538481964,0.021915207101941465,0.021926239138691878,0.0,2.384185791015625e-07
gpt,GPT,centroid_loo,one_at_a_time,persona,23,0.006398487391798328,0.006955827538481964,-0.0005573401466836358,-0.0006075603705339326,70.0,0.03838014602661133
gpt,GPT,global_centroid_dist,baseline,one_at_a_time,23,0.01477076360267958,0.003268424537862111,0.011502339064817468,0.011560418552913588,0.0,2.384185791015625e-07
gpt,GPT,global_centroid_dist,baseline,persona,23,0.01477076360267958,0.0035726885755262452,0.011198075027153333,0.011440888391326507,0.0,2.384185791015625e-07
gpt,GPT,global_centroid_dist,one_at_a_time,persona,23,0.003268424537862111,0.0035726885755262452,-0.0003042640376641338,-0.00034149539705152776,73.0,0.04844093322753906
gpt,GPT,mean_pairwise,baseline,one_at_a_time,23,0.04077729505041371,0.009086603444555533,0.031690691605858176,0.03096695542335511,0.0,2.384185791015625e-07
gpt,GPT,mean_pairwise,baseline,persona,23,0.04077729505041371,0.009901915166689002,0.030875379883724713,0.03068249821662903,0.0,2.384185791015625e-07
gpt,GPT,mean_pairwise,one_at_a_time,persona,23,0.009086603444555533,0.009901915166689002,-0.0008153117221334708,-0.0009074985980987542,71.0,0.04152512550354004
gpt,GPT,medoid_dist,baseline,one_at_a_time,23,0.025198756957399676,0.0059541694495988924,0.01924458750780078,0.019191130995750427,0.0,2.384185791015625e-07
gpt,GPT,medoid_dist,baseline,persona,23,0.025198756957399676,0.0064868887265523275,0.018711868230847348,0.018775275349617003,0.0,2.384185791015625e-07
gpt,GPT,medoid_dist,one_at_a_time,persona,23,0.0059541694495988924,0.0064868887265523275,-0.0005327192769534348,-0.0006961256265640252,63.0,0.021372318267822266
gpt,GPT,mst_dispersion,baseline,one_at_a_time,23,0.03436969298383464,0.00818105499813522,0.02618863798569942,0.02570287783940633,0.0,2.384185791015625e-07
gpt,GPT,mst_dispersion,baseline,persona,23,0.03436969298383464,0.008890291314194167,0.02547940166964047,0.02529615163803101,0.0,2.384185791015625e-07
gpt,GPT,mst_dispersion,one_at_a_time,persona,23,0.00818105499813522,0.008890291314194167,-0.0007092363160589467,-0.0008645455042521136,62.0,0.01955723762512207
gpt,GPT,nn,baseline,one_at_a_time,23,0.03292061431684356,0.007946918364884198,0.024973695951959356,0.02455188035964966,0.0,2.384185791015625e-07
gpt,GPT,nn,baseline,persona,23,0.03292061431684356,0.008617061117421025,0.024303553199422533,0.023966056108474732,0.0,2.384185791015625e-07
gpt,GPT,nn,one_at_a_time,persona,23,0.007946918364884198,0.008617061117421025,-0.000670142752536829,-0.000957779089609782,60.0,0.016311168670654297
gpt,GPT,remote_clique,baseline,one_at_a_time,23,0.04077729505041371,0.009086603444555533,0.031690691605858176,0.03096695542335511,0.0,2.384185791015625e-07
gpt,GPT,remote_clique,baseline,persona,23,0.04077729505041371,0.009901915166689002,0.030875379883724713,0.03068249821662903,0.0,2.384185791015625e-07
gpt,GPT,remote_clique,one_at_a_time,persona,23,0.009086603444555533,0.009901915166689002,-0.0008153117221334708,-0.0009074985980987542,71.0,0.04152512550354004
gpt,GPT,span90,baseline,one_at_a_time,23,0.018538127415292555,0.0037431889272153997,0.014794938488077152,0.014979784510850122,0.0,2.384185791015625e-07
