cohort,proposal_key,proposal_uid,proposal_title,source_family,metric_name,metric_value
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,medoid_dist,0.032851919531822205
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,remote_clique,0.04760291054844856
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,span90,0.02200212888419628
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,mst_dispersion,0.03975429137547811
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,sparseness,0.018013328313827515
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,global_centroid_dist,0.021426483988761902
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,mean_pairwise,0.030414322391152382
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,nn,0.026882926002144814
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,centroid_loo,0.02295263608296712
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,medoid_dist,0.01837168075144291
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,remote_clique,0.030414322391152382
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,span90,0.011560904793441296
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,mst_dispersion,0.02755752205848694
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,sparseness,0.010189930908381939
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,ai_all,global_centroid_dist,0.01357595156878233
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,mean_pairwise,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,nn,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,centroid_loo,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,medoid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,remote_clique,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,span90,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,mst_dispersion,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,sparseness,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,claude,global_centroid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,mean_pairwise,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,nn,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,centroid_loo,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,medoid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,remote_clique,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,span90,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,mst_dispersion,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,sparseness,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gemini,global_centroid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,mean_pairwise,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,nn,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,centroid_loo,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,medoid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,remote_clique,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,span90,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,mst_dispersion,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,sparseness,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,gpt,global_centroid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,mean_pairwise,0.03610982373356819
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,nn,0.03400808572769165
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,centroid_loo,0.027287423610687256
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,medoid_dist,0.022954046726226807
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,remote_clique,0.03610982373356819
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,span90,0.01293338555842638
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,mst_dispersion,0.03443107008934021
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,sparseness,0.012109975330531597
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,human,global_centroid_dist,0.015462000854313374
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,mean_pairwise,0.02907806634902954
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,nn,0.026079455390572548
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,centroid_loo,0.021938860416412354
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,medoid_dist,0.0181033406406641
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,remote_clique,0.02907806634902954
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,span90,0.011039221659302711
