condition,task,text_branch,field,group,metric,x,y,y_lo,y_hi
baseline,proposals,rephrased,whole,Gemini,vendi_profile,0.5,5.81960875329234,,
baseline,proposals,rephrased,whole,Gemini,vendi_profile,1,2.4334299447684185,,
baseline,proposals,rephrased,whole,Gemini,vendi_profile,2,1.637696129356876,,
baseline,proposals,rephrased,whole,Gemini,vendi_profile,4,1.431107824570683,,
baseline,proposals,rephrased,whole,Gemini,vendi_profile,inf,1.3091227221654747,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,1,0.7638703255763963,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,2,0.16321720103455548,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,3,0.013624263860626033,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,4,0.010475760473123062,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,5,0.0068392789310267885,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,6,0.005840374320893011,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,7,0.004895256545525186,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,8,0.004006509329026673,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,9,0.0037030158659830162,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,10,0.003208694633499262,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,11,0.002638590727999371,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,12,0.0023667660768748188,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,13,0.0021087198959017896,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,14,0.0019429338848465673,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,15,0.001768256909955161,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,16,0.0015682153567146923,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,17,0.0015348953793660807,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,18,0.0015052490126227995,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,19,0.0011839297560436645,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,20,0.0010713720592021945,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,21,0.00101377715141228,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,22,0.0008781860013655656,,
baseline,proposals,rephrased,whole,Gemini,kernel_eigen_scree,23,0.0007384272170397194,,
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.027431038851441093,0.08695652173913043,0.0,0.6086956521739131
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.031190325394019943,0.43478260869565216,0.08695652173913043,1.9130434782608696
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.03345500285506447,0.6086956521739131,0.34782608695652173,2.9565217391304346
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.03535892941137008,0.8695652173913043,0.6043478260869568,3.9130434782608696
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.036928265147636904,1.565217391304348,0.782608695652174,4.956521739130435
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.038550190251741195,1.9130434782608696,1.1260869565217393,5.826086956521739
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.039719673371846,2.782608695652174,1.473913043478261,6.873913043478257
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04100263240407077,3.391304347826087,1.7391304347826086,7.656521739130431
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04237277089881585,4.173913043478261,2.0869565217391304,8.608695652173912
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04362106762779814,4.869565217391305,2.5173913043478264,9.304347826086957
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04506982665703059,5.478260869565218,2.782608695652174,10.004347826086953
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04637485253252747,5.739130434782608,3.1260869565217395,10.869565217391305
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.048162025342595845,6.260869565217392,3.391304347826087,11.565217391304348
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.04991604374173491,7.565217391304348,3.8260869565217392,12.173913043478262
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.05164751112751788,8.434782608695652,4.3478260869565215,12.782608695652174
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.053566372518173526,9.043478260869565,4.691304347826088,13.478260869565217
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.055952179299227724,9.565217391304348,5.121739130434783,14.091304347826084
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.05851511783328887,10.434782608695652,5.647826086956522,15.130434782608695
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.061514524758028204,11.043478260869565,6.0,15.652173913043478
baseline,proposals,rephrased,whole,Gemini,ripley_K,0.06642660819961294,11.391304347826088,6.3478260869565215,16.26086956521739
baseline,proposals,rephrased,whole,Gemini,g_function,0.027431038851441093,0.08695652173913043,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.031190325394019943,0.30434782608695654,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.03345500285506447,0.34782608695652173,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.03535892941137008,0.43478260869565216,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.036928265147636904,0.5217391304347826,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.038550190251741195,0.5652173913043478,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.039719673371846,0.6086956521739131,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04100263240407077,0.6086956521739131,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04237277089881585,0.6521739130434783,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04362106762779814,0.6521739130434783,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04506982665703059,0.6956521739130435,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04637485253252747,0.6956521739130435,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.048162025342595845,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.04991604374173491,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.05164751112751788,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.053566372518173526,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.055952179299227724,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.05851511783328887,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.061514524758028204,0.7391304347826086,,
baseline,proposals,rephrased,whole,Gemini,g_function,0.06642660819961294,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,0,23.0,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,0.5,5.359563697234154,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,1,2.3769979140140594,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,2,1.693331899035119,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,4,1.485731322798513,,
baseline,proposals,rephrased,whole,GPT,vendi_profile,inf,1.3474403474672967,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,1,0.7421478820043056,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,2,0.1985078871301327,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,3,0.012144304594003657,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,4,0.01077380958167103,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,5,0.005565618203622166,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,6,0.003683889792279052,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,7,0.0033481836600146686,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,8,0.003141993511770791,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,9,0.0026132357863093707,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,10,0.002230226762466236,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,11,0.002083799968275364,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,12,0.0019009536406594863,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,13,0.0016106458914774999,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,14,0.001528107466919691,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,15,0.0013563344606582082,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,16,0.0012604483213251015,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,17,0.0011030875873143829,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,18,0.0010402752078838,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,19,0.0009433553268415524,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,20,0.0009083465039430389,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,21,0.000802202478066314,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,22,0.000710120506254216,,
baseline,proposals,rephrased,whole,GPT,kernel_eigen_scree,23,0.0005952916138059392,,
baseline,proposals,rephrased,whole,GPT,ripley_K,0.027431038851441093,0.8695652173913043,0.0,0.6086956521739131
baseline,proposals,rephrased,whole,GPT,ripley_K,0.031190325394019943,2.869565217391304,0.08695652173913043,1.9130434782608696
baseline,proposals,rephrased,whole,GPT,ripley_K,0.03345500285506447,4.695652173913044,0.34782608695652173,2.9565217391304346
baseline,proposals,rephrased,whole,GPT,ripley_K,0.03535892941137008,6.086956521739131,0.6043478260869568,3.9130434782608696
baseline,proposals,rephrased,whole,GPT,ripley_K,0.036928265147636904,6.956521739130435,0.782608695652174,4.956521739130435
baseline,proposals,rephrased,whole,GPT,ripley_K,0.038550190251741195,8.26086956521739,1.1260869565217393,5.826086956521739
baseline,proposals,rephrased,whole,GPT,ripley_K,0.039719673371846,9.391304347826088,1.473913043478261,6.873913043478257
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04100263240407077,10.08695652173913,1.7391304347826086,7.656521739130431
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04237277089881585,10.869565217391305,2.0869565217391304,8.608695652173912
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04362106762779814,11.043478260869565,2.5173913043478264,9.304347826086957
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04506982665703059,11.304347826086957,2.782608695652174,10.004347826086953
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04637485253252747,11.565217391304348,3.1260869565217395,10.869565217391305
baseline,proposals,rephrased,whole,GPT,ripley_K,0.048162025342595845,11.652173913043478,3.391304347826087,11.565217391304348
baseline,proposals,rephrased,whole,GPT,ripley_K,0.04991604374173491,11.652173913043478,3.8260869565217392,12.173913043478262
baseline,proposals,rephrased,whole,GPT,ripley_K,0.05164751112751788,11.826086956521738,4.3478260869565215,12.782608695652174
baseline,proposals,rephrased,whole,GPT,ripley_K,0.053566372518173526,11.826086956521738,4.691304347826088,13.478260869565217
baseline,proposals,rephrased,whole,GPT,ripley_K,0.055952179299227724,11.826086956521738,5.121739130434783,14.091304347826084
baseline,proposals,rephrased,whole,GPT,ripley_K,0.05851511783328887,11.826086956521738,5.647826086956522,15.130434782608695
baseline,proposals,rephrased,whole,GPT,ripley_K,0.061514524758028204,11.826086956521738,6.0,15.652173913043478
baseline,proposals,rephrased,whole,GPT,ripley_K,0.06642660819961294,11.826086956521738,6.3478260869565215,16.26086956521739
baseline,proposals,rephrased,whole,GPT,g_function,0.027431038851441093,0.4782608695652174,,
baseline,proposals,rephrased,whole,GPT,g_function,0.031190325394019943,0.6521739130434783,,
baseline,proposals,rephrased,whole,GPT,g_function,0.03345500285506447,0.6956521739130435,,
baseline,proposals,rephrased,whole,GPT,g_function,0.03535892941137008,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.036928265147636904,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.038550190251741195,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.039719673371846,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04100263240407077,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04237277089881585,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04362106762779814,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04506982665703059,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04637485253252747,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.048162025342595845,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.04991604374173491,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.05164751112751788,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.053566372518173526,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.055952179299227724,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.05851511783328887,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.061514524758028204,0.7391304347826086,,
baseline,proposals,rephrased,whole,GPT,g_function,0.06642660819961294,0.7391304347826086,,
