condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,True,q=1,3.148932867702901,2.4334299447684185,1.2940306231016545,ratio,2.2466047471815913,2.4740057881377138,2.993314374730022,3.202503131029318,permutation,0.7155029229344825,0.211978802119788,,23.0,23.0,10000.0,1.0,,0.7727792388738884,-0.371871758964218,-0.3559789228549449,0.9130434782608696
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,False,q=2,2.122356380956793,1.6376961293568777,1.295940280319427,ratio,1.5371052545261157,1.6675139038801283,2.040587145615147,2.167987477239411,permutation,0.4846602515999154,0.2306769323067693,0.3974501198528795,23.0,23.0,10000.0,1.0,,0.771640495465977,-0.3739992373026838,,
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,13.03791271767149,9.577343085274991,1.3613287737093878,ratio,,,,,permutation,3.4605696323964974,0.1336866313368663,0.2663288358664133,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.7345764074869079,-0.4450155333511665,,
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=1.0x_median,5.246627311614594,3.736076317429472,1.4043148120765436,ratio,,,,,permutation,1.510550994185122,0.1843815618438156,0.3482762834827628,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.7120910435469323,-0.48986638785772435,,
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=2.0x_median,2.3350370818079753,1.9335978781205132,1.207612559069245,ratio,,,,,permutation,0.4014392036874621,0.2096790320967903,0.3793875931555781,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.8280801590625553,-0.27215766594951885,,
baseline,proposals,rephrased,whole,human_vs_gemini,evenness,vendi_slope,False,q=0..2,0.907723635610574,0.9287958204627444,0.0210721848521702,diff,0.9242039134599942,0.930131579339722,0.901455114670936,0.9072460388356752,permutation,-0.0210721848521702,0.2306769323067693,0.3974501198528795,23.0,23.0,10000.0,1.0,relative VS0->VS2 drop (spec 4.2); larger = few dominant modes = less even; effect = AI - Human,1.0232143176904238,0.03310835689713297,,
baseline,proposals,rephrased,whole,human_vs_gemini,coverage,coverage_geometric,False,k=2,0.8181818181818182,0.4782608695652174,0.4782608695652174,coverage,0.3636363636363636,1.0,,,split_half_reference,0.4782608695652174,0.0869130869130869,0.2110746396460682,23.0,23.0,1000.0,0.8181818181818182,density=0.587; human_value = median human split-half coverage (parity ref); ci = split-half band,0.5845410628019323,-0.7746237202247309,,
baseline,proposals,rephrased,whole,human_vs_gemini,coverage,coverage_geometric,True,k=3,1.0,0.6086956521739131,0.6086956521739131,coverage,0.5454545454545454,1.0,,,split_half_reference,0.6086956521739131,0.0479520479520479,,23.0,23.0,1000.0,1.0,density=0.5652; human_value = median human split-half coverage (parity ref); ci = split-half band,0.6086956521739131,-0.7162070339994087,-2.2562325618664096,
baseline,proposals,rephrased,whole,human_vs_gemini,coverage,coverage_geometric,False,k=5,1.0,0.8695652173913043,0.8695652173913043,coverage,0.8181818181818182,1.0,,,split_half_reference,0.8695652173913043,0.0289710289710289,0.0972054261527945,23.0,23.0,1000.0,1.0,density=0.7043; human_value = median human split-half coverage (parity ref); ci = split-half band,0.8695652173913043,-0.20163386116965057,,
baseline,proposals,rephrased,whole,human_vs_gemini,dimensionality,participation_ratio,True,,1.7704070953838629,1.760329951962875,0.0100771434209876,diff,1.7149348442586034,1.8327538296502257,1.7133183113671713,1.7892900883027878,permutation,0.0100771434209876,0.919008099190081,,23.0,23.0,10000.0,1.0,,0.9943080077755773,-0.008235268795822563,0.1648847166016416,-0.1818181818181818
