condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,gemini,Gemini,nn,medoid_dist,0.9407114624505929,2.5093672174275708e-11,23,strengths
baseline,gemini,Gemini,nn,mst_dispersion,0.9703557312252965,1.9754383177126073e-14,23,strengths
baseline,gemini,Gemini,nn,remote_clique,0.9051383399209486,2.9754306887885376e-09,23,strengths
baseline,gemini,Gemini,nn,span90,0.6482213438735179,0.0008227075253363856,23,strengths
baseline,gemini,Gemini,nn,sparseness,0.892292490118577,1.0651168391238102e-08,23,strengths
baseline,gemini,Gemini,span90,mst_dispersion,0.758893280632411,2.6957680788630794e-05,23,strengths
baseline,gemini,Gemini,span90,remote_clique,0.8389328063241107,5.699156455047601e-07,23,strengths
baseline,gemini,Gemini,span90,sparseness,0.8626482213438734,1.194476145665706e-07,23,strengths
baseline,gemini,Gemini,sparseness,remote_clique,0.9871541501976285,3.2675709718963424e-18,23,strengths
baseline,gpt,GPT,centroid_loo,global_centroid_dist,0.991106719367589,6.99593234664107e-20,23,strengths
baseline,gpt,GPT,centroid_loo,medoid_dist,0.9634387351778656,1.7329804448776302e-13,23,strengths
baseline,gpt,GPT,centroid_loo,mst_dispersion,0.9239130434782609,3.195584369798008e-10,23,strengths
baseline,gpt,GPT,centroid_loo,remote_clique,1.0,0.0,23,strengths
baseline,gpt,GPT,centroid_loo,span90,0.9535573122529646,2.045296157918174e-12,23,strengths
baseline,gpt,GPT,centroid_loo,sparseness,0.991106719367589,6.99593234664107e-20,23,strengths
baseline,gpt,GPT,global_centroid_dist,medoid_dist,0.9664031620553359,7.225576101378271e-14,23,strengths
baseline,gpt,GPT,global_centroid_dist,mst_dispersion,0.9011857707509882,4.48681122881196e-09,23,strengths
baseline,gpt,GPT,global_centroid_dist,remote_clique,0.991106719367589,6.99593234664107e-20,23,strengths
baseline,gpt,GPT,global_centroid_dist,span90,0.9703557312252965,1.9754383177126073e-14,23,strengths
baseline,gpt,GPT,global_centroid_dist,sparseness,1.0,0.0,23,strengths
baseline,gpt,GPT,mean_pairwise,centroid_loo,1.0,0.0,23,strengths
baseline,gpt,GPT,mean_pairwise,global_centroid_dist,0.991106719367589,6.99593234664107e-20,23,strengths
baseline,gpt,GPT,mean_pairwise,medoid_dist,0.9634387351778656,1.7329804448776302e-13,23,strengths
baseline,gpt,GPT,mean_pairwise,mst_dispersion,0.9239130434782609,3.195584369798008e-10,23,strengths
baseline,gpt,GPT,mean_pairwise,nn,0.8270750988142292,1.1368640281993526e-06,23,strengths
baseline,gpt,GPT,mean_pairwise,remote_clique,1.0,0.0,23,strengths
baseline,gpt,GPT,mean_pairwise,span90,0.9535573122529646,2.045296157918174e-12,23,strengths
baseline,gpt,GPT,mean_pairwise,sparseness,0.991106719367589,6.99593234664107e-20,23,strengths
baseline,gpt,GPT,medoid_dist,mst_dispersion,0.9565217391304348,1.0367507751993613e-12,23,strengths
baseline,gpt,GPT,medoid_dist,remote_clique,0.9634387351778656,1.7329804448776302e-13,23,strengths
baseline,gpt,GPT,medoid_dist,span90,0.9110671936758895,1.551919112141883e-09,23,strengths
baseline,gpt,GPT,medoid_dist,sparseness,0.9664031620553359,7.225576101378271e-14,23,strengths
baseline,gpt,GPT,mst_dispersion,remote_clique,0.9239130434782609,3.195584369798008e-10,23,strengths
baseline,gpt,GPT,mst_dispersion,sparseness,0.9011857707509882,4.48681122881196e-09,23,strengths
baseline,gpt,GPT,nn,centroid_loo,0.8270750988142292,1.1368640281993526e-06,23,strengths
baseline,gpt,GPT,nn,global_centroid_dist,0.8063241106719368,3.3894669284599658e-06,23,strengths
baseline,gpt,GPT,nn,medoid_dist,0.8814229249011858,2.7817398148580042e-08,23,strengths
baseline,gpt,GPT,nn,mst_dispersion,0.9456521739130436,1.0287762126573295e-11,23,strengths
baseline,gpt,GPT,nn,remote_clique,0.8270750988142292,1.1368640281993526e-06,23,strengths
baseline,gpt,GPT,nn,span90,0.6907114624505929,0.0002636929969771566,23,strengths
baseline,gpt,GPT,nn,sparseness,0.8063241106719368,3.3894669284599658e-06,23,strengths
baseline,gpt,GPT,span90,mst_dispersion,0.825098814229249,1.2691428977695283e-06,23,strengths
baseline,gpt,GPT,span90,remote_clique,0.9535573122529646,2.045296157918174e-12,23,strengths
baseline,gpt,GPT,span90,sparseness,0.9703557312252965,1.9754383177126073e-14,23,strengths
baseline,gpt,GPT,sparseness,remote_clique,0.991106719367589,6.99593234664107e-20,23,strengths
