condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,gpt,GPT,mean_pairwise,nn,0.8784584980237155,3.5565910113438074e-08,23,weakness
baseline,gpt,GPT,mean_pairwise,remote_clique,1.0,0.0,23,weakness
baseline,gpt,GPT,mean_pairwise,span90,0.933794466403162,7.751322266758986e-11,23,weakness
baseline,gpt,GPT,mean_pairwise,sparseness,0.9940711462450593,1.0034336129623743e-21,23,weakness
baseline,gpt,GPT,medoid_dist,mst_dispersion,0.9624505928853755,2.2830334775646334e-13,23,weakness
baseline,gpt,GPT,medoid_dist,remote_clique,0.9525691699604744,2.5401685638882054e-12,23,weakness
baseline,gpt,GPT,medoid_dist,span90,0.8409090909090908,5.052487730888583e-07,23,weakness
baseline,gpt,GPT,medoid_dist,sparseness,0.9545454545454547,1.63902003817655e-12,23,weakness
baseline,gpt,GPT,mst_dispersion,remote_clique,0.9268774703557312,2.133522580785247e-10,23,weakness
baseline,gpt,GPT,mst_dispersion,sparseness,0.9179841897233202,6.841670339545262e-10,23,weakness
baseline,gpt,GPT,nn,centroid_loo,0.8814229249011858,2.7817398148580042e-08,23,weakness
baseline,gpt,GPT,nn,global_centroid_dist,0.8695652173913043,7.16738071019896e-08,23,weakness
baseline,gpt,GPT,nn,medoid_dist,0.9298418972332017,1.4000253245746014e-10,23,weakness
baseline,gpt,GPT,nn,mst_dispersion,0.9802371541501977,2.920890307948633e-16,23,weakness
baseline,gpt,GPT,nn,remote_clique,0.8784584980237155,3.5565910113438074e-08,23,weakness
baseline,gpt,GPT,nn,span90,0.7114624505928854,0.00014095644321725223,23,weakness
baseline,gpt,GPT,nn,sparseness,0.8695652173913043,7.16738071019896e-08,23,weakness
baseline,gpt,GPT,span90,mst_dispersion,0.7845849802371542,9.341612326806118e-06,23,weakness
baseline,gpt,GPT,span90,remote_clique,0.933794466403162,7.751322266758986e-11,23,weakness
baseline,gpt,GPT,span90,sparseness,0.9426877470355731,1.7733200161440015e-11,23,weakness
baseline,gpt,GPT,sparseness,remote_clique,0.9940711462450593,1.0034336129623743e-21,23,weakness
