metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
Synthesis_Focus,12,23,26.0,2.290534929024196e-06,-0.8115942028985508,large,human-y1,gpt-5.2,4.5,4.9855072463768115,2.2905349290241958e-05
Synthesis_Focus,11,23,71.0,0.019530947589815943,-0.43873517786561267,medium,human-y2,claude-opus-4-5,4.242424242424242,4.82608695652174,0.0325515793163599
Synthesis_Focus,11,23,85.5,0.10298608069701488,-0.3241106719367589,small,human-y2,gemini-3-pro-preview,4.242424242424242,4.811594202898551,0.12873260087126862
Synthesis_Focus,11,23,49.5,0.00014948794766993223,-0.6086956521739131,large,human-y2,gpt-5.2,4.242424242424242,4.9855072463768115,0.0007474397383496612
Synthesis_Focus,23,23,304.5,0.293817876991173,0.15122873345935728,small,claude-opus-4-5,gemini-3-pro-preview,4.82608695652174,4.811594202898551,0.32646430776797003
Synthesis_Focus,23,23,206.5,0.04270244525723278,-0.21928166351606806,small,claude-opus-4-5,gpt-5.2,4.82608695652174,4.9855072463768115,0.06100349322461825
Synthesis_Focus,23,23,170.5,0.004318116460371763,-0.3553875236294896,medium,gemini-3-pro-preview,gpt-5.2,4.811594202898551,4.9855072463768115,0.010795291150929406
Data_Identification,12,11,30.5,0.02213626462926368,-0.5378787878787878,large,human-y1,human-y2,3.0833333333333335,3.6060606060606064,0.036893774382106136
Data_Identification,12,23,56.5,0.0023639025548816317,-0.5905797101449275,large,human-y1,claude-opus-4-5,3.0833333333333335,3.652173913043479,0.005909756387204079
Data_Identification,12,23,111.5,0.2719986855562786,-0.19202898550724637,small,human-y1,gemini-3-pro-preview,3.0833333333333335,3.2898550724637676,0.30222076172919843
Data_Identification,12,23,41.0,0.00041587786018200385,-0.7028985507246377,large,human-y1,gpt-5.2,3.0833333333333335,3.840579710144927,0.0013862595339400128
Data_Identification,11,23,124.0,0.9377992847711133,-0.019762845849802372,negligible,human-y2,claude-opus-4-5,3.6060606060606064,3.652173913043479,0.9377992847711132
Data_Identification,11,23,185.5,0.013545919389702165,0.466403162055336,medium,human-y2,gemini-3-pro-preview,3.6060606060606064,3.2898550724637676,0.027091838779404333
Data_Identification,11,23,96.0,0.2478985885422762,-0.24110671936758893,small,human-y2,gpt-5.2,3.6060606060606064,3.840579710144927,0.30222076172919843
Data_Identification,23,23,407.5,0.00035558209448710554,0.5406427221172023,large,claude-opus-4-5,gemini-3-pro-preview,3.652173913043479,3.2898550724637676,0.0013862595339400128
Data_Identification,23,23,204.0,0.16386232961790037,-0.22873345935727787,small,claude-opus-4-5,gpt-5.2,3.652173913043479,3.840579710144927,0.23408904231128624
Data_Identification,23,23,88.0,2.1892279723720982e-05,-0.667296786389414,large,gemini-3-pro-preview,gpt-5.2,3.2898550724637676,3.840579710144927,0.00021892279723720982
Open_Science_Commitment,12,11,54.0,0.46283473125766805,-0.18181818181818182,small,human-y1,human-y2,3.1944444444444446,3.3636363636363638,0.5142608125085201
Open_Science_Commitment,12,23,46.0,0.0010232013097878538,-0.6666666666666666,large,human-y1,claude-opus-4-5,3.1944444444444446,3.9999999999999987,0.0034106710326261796
Open_Science_Commitment,12,23,53.5,0.002612990557024568,-0.6123188405797102,large,human-y1,gemini-3-pro-preview,3.1944444444444446,3.9565217391304337,0.00653247639256142
Open_Science_Commitment,12,23,21.5,9.949279747305803e-06,-0.8442028985507246,large,human-y1,gpt-5.2,3.1944444444444446,4.231884057971013,9.949279747305802e-05
Open_Science_Commitment,11,23,63.5,0.017152283024506783,-0.4980237154150198,large,human-y2,claude-opus-4-5,3.3636363636363638,3.9999999999999987,0.02808996608558214
Open_Science_Commitment,11,23,70.5,0.033422466190871324,-0.4426877470355731,medium,human-y2,gemini-3-pro-preview,3.3636363636363638,3.9565217391304337,0.041778082738589156
Open_Science_Commitment,11,23,28.0,6.106636731488046e-05,-0.7786561264822134,large,human-y2,gpt-5.2,3.3636363636363638,4.231884057971013,0.0003053318365744023
Open_Science_Commitment,23,23,283.0,0.6760804543921493,0.06994328922495274,negligible,claude-opus-4-5,gemini-3-pro-preview,3.9999999999999987,3.9565217391304337,0.6760804543921493
Open_Science_Commitment,23,23,172.5,0.019662976259907497,-0.34782608695652173,medium,claude-opus-4-5,gpt-5.2,3.9999999999999987,4.231884057971013,0.02808996608558214
Open_Science_Commitment,23,23,151.5,0.005196995901572956,-0.42722117202268434,medium,gemini-3-pro-preview,gpt-5.2,3.9565217391304337,4.231884057971013,0.010393991803145913
